crate,fn,conv,src
protobuf-native-0.2.1+3.19.1,from_ffi_mut,*mut struct>struct,warn(align)src/internal.rs:257:13
protobuf-native-0.2.1+3.19.1,as_ffi,&struct>&struct,warn(align)src/internal.rs:262:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut,struct>struct,safesrc/internal.rs:267:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr,struct>*mut struct,warn(align)src/internal.rs:272:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr_unpinned,&mut struct>*mut struct,warn(align)src/internal.rs:277:13
protobuf-native-0.2.1+3.19.1,upcast,&struct>&struct,warn(align)src/io.rs:326:18
protobuf-native-0.2.1+3.19.1,upcast_mut,struct>struct,safesrc/io.rs:330:18
protobuf-native-0.2.1+3.19.1,from_ffi_owned,*mut struct>struct,warn(align)src/internal.rs:242:13
protobuf-native-0.2.1+3.19.1,from_ffi_ptr,*const struct>&struct,warn(align)src/internal.rs:247:13
protobuf-native-0.2.1+3.19.1,from_ffi_ref,&struct>&struct,warn(align)src/internal.rs:252:22
protobuf-native-0.2.1+3.19.1,from_ffi_mut,*mut struct>struct,warn(align)src/internal.rs:257:13
protobuf-native-0.2.1+3.19.1,as_ffi,&struct>&struct,warn(align)src/internal.rs:262:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut,struct>struct,safesrc/internal.rs:267:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr,struct>*mut struct,warn(align)src/internal.rs:272:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr_unpinned,&mut struct>*mut struct,warn(align)src/internal.rs:277:13
protobuf-native-0.2.1+3.19.1,upcast,&struct>&struct,warn(align)src/io.rs:364:18
protobuf-native-0.2.1+3.19.1,upcast_mut,struct>struct,safesrc/io.rs:368:18
protobuf-native-0.2.1+3.19.1,from_ffi_owned,*mut struct>struct,warn(align)src/internal.rs:242:13
protobuf-native-0.2.1+3.19.1,from_ffi_ptr,*const struct>&struct,warn(align)src/internal.rs:247:13
protobuf-native-0.2.1+3.19.1,from_ffi_ref,&struct>&struct,warn(align)src/internal.rs:252:22
protobuf-native-0.2.1+3.19.1,from_ffi_mut,*mut struct>struct,warn(align)src/internal.rs:257:13
protobuf-native-0.2.1+3.19.1,as_ffi,&struct>&struct,warn(align)src/internal.rs:262:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut,struct>struct,safesrc/internal.rs:267:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr,struct>*mut struct,warn(align)src/internal.rs:272:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr_unpinned,&mut struct>*mut struct,warn(align)src/internal.rs:277:13
protobuf-native-0.2.1+3.19.1,upcast,&struct>&struct,warn(align)src/io.rs:395:18
protobuf-native-0.2.1+3.19.1,upcast_mut,struct>struct,safesrc/io.rs:399:18
protobuf-native-0.2.1+3.19.1,from_ffi_owned,*mut struct>struct,warn(align)src/internal.rs:242:13
protobuf-native-0.2.1+3.19.1,from_ffi_ptr,*const struct>&struct,warn(align)src/internal.rs:247:13
protobuf-native-0.2.1+3.19.1,from_ffi_ref,&struct>&struct,warn(align)src/internal.rs:252:22
protobuf-native-0.2.1+3.19.1,from_ffi_mut,*mut struct>struct,warn(align)src/internal.rs:257:13
protobuf-native-0.2.1+3.19.1,as_ffi,&struct>&struct,warn(align)src/internal.rs:262:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut,struct>struct,safesrc/internal.rs:267:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr,struct>*mut struct,warn(align)src/internal.rs:272:22
protobuf-native-0.2.1+3.19.1,as_ffi_mut_ptr_unpinned,&mut struct>*mut struct,warn(align)src/internal.rs:277:13
protobuf-native-0.2.1+3.19.1,upcast,&struct>&struct,warn(align)src/io.rs:522:18
protobuf-native-0.2.1+3.19.1,upcast_mut,struct>struct,safesrc/io.rs:526:18
protobuf-native-0.2.1+3.19.1,from_ffi_owned,*mut struct>struct,warn(align)src/internal.rs:242:13
