crate,conv,warn/safe,src
tinystr-0.7.1,[uint]>[adt],warn,  --> src/int_ops.rs:40:18
tinystr-0.7.1,&[adt]>&[uint],warn,   --> src/int_ops.rs:187:40
tinystr-0.7.1,[uint]>[adt],warn,   --> src/int_ops.rs:197:18
rustr-0.1.9,&[uint]>*mut uint,warn,  --> src/rdll/unix64.rs:91:28
rustr-0.1.9,*mut uint>*mut uint,warn,  --> src/rdll/unix64.rs:92:9
rustr-0.1.9,&[uint]>*mut uint,warn,  --> src/rdll/unix64.rs:95:28
rustr-0.1.9,*mut uint>*mut [int],warn,  --> src/rdll/unix64.rs:96:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:430:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:431:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:434:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:435:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:438:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:439:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:442:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:443:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:446:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:447:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:450:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:451:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:488:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:489:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:492:28
rustr-0.1.9,*mut uint>*mut float,warn,   --> src/rdll/unix64.rs:493:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:602:28
rustr-0.1.9,*mut uint>*mut int,warn,   --> src/rdll/unix64.rs:603:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:606:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:607:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:610:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:611:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:652:28
rustr-0.1.9,*mut uint>*mut *mut struct,warn,   --> src/rdll/unix64.rs:653:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:656:28
rustr-0.1.9,*mut uint>*mut *mut int,warn,   --> src/rdll/unix64.rs:657:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:814:28
rustr-0.1.9,*mut uint>*mut [int],warn,   --> src/rdll/unix64.rs:815:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:818:28
rustr-0.1.9,*mut uint>*mut int,warn,   --> src/rdll/unix64.rs:819:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:850:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:851:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:855:28
rustr-0.1.9,*mut uint>*mut [int],warn,   --> src/rdll/unix64.rs:856:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:859:28
rustr-0.1.9,*mut uint>*mut int,warn,   --> src/rdll/unix64.rs:860:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:897:28
rustr-0.1.9,*mut uint>*mut [int],warn,   --> src/rdll/unix64.rs:898:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:901:28
rustr-0.1.9,*mut uint>*mut int,warn,   --> src/rdll/unix64.rs:902:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:919:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:920:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:924:28
rustr-0.1.9,*mut uint>*mut [int],warn,   --> src/rdll/unix64.rs:925:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:928:28
rustr-0.1.9,*mut uint>*mut int,warn,   --> src/rdll/unix64.rs:929:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:966:28
rustr-0.1.9,*mut uint>*mut [int],warn,   --> src/rdll/unix64.rs:967:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:970:28
rustr-0.1.9,*mut uint>*mut int,warn,   --> src/rdll/unix64.rs:971:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:990:28
rustr-0.1.9,*mut uint>*mut struct,warn,   --> src/rdll/unix64.rs:991:9
rustr-0.1.9,&[uint]>*mut uint,warn,   --> src/rdll/unix64.rs:995:28
rustr-0.1.9,*mut uint>*mut [int],warn,   --> src/rdll/unix64.rs:996:9
