siphasher,0.3.10,jedisct1/rust-siphash
rustversion,1.0.12,dtolnay/rustversion
strum_macros,0.24.3,Peternator7/strum
proc-macro-crate,1.3.1,bkchr/proc-macro-crate
sharded-slab,0.1.4,hawkw/sharded-slab
lazycell,1.3.0,indiv0/lazycell
webpki-roots,0.23.0,rustls/webpki-roots
tokio-stream,0.1.14,tokio-rs/tokio
js-sys,0.3.63,rustwasm/wasm-bindgen/tree/master/crates/js-sys
yaml-rust,0.4.5,chyh1990/yaml-rust
rustc-hash,1.1.0,rust-lang-nursery/rustc-hash
clap_derive,4.3.0,clap-rs/clap/tree/master/clap_derive
stable_deref_trait,1.2.0,storyyeller/stable_deref_trait
filetime,0.2.21,alexcrichton/filetime
num-complex,0.4.3,rust-num/num-complex
pest,2.6.0,pest-parser/pest
num-iter,0.1.43,rust-num/num-iter
shlex,1.1.0,comex/rust-shlex
clap_lex,0.5.0,clap-rs/clap/tree/master/clap_lex
sha1,0.10.5,RustCrypto/hashes
dirs-sys,0.4.1,dirs-dev/dirs-sys-rs
strum,0.24.1,Peternator7/strum
tracing-log,0.1.3,tokio-rs/tracing
net2,0.2.38,deprecrated/net2-rs
phf,0.11.1,rust-phf/rust-phf
dtoa,1.0.6,dtolnay/dtoa
ident_case,1.0.1,TedDriggs/ident_case
mime_guess,2.0.4,abonander/mime_guess
iovec,0.2.0,carllerche/iovec
derive_more,0.99.17,JelteF/derive_more
ucd-trie,0.1.5,BurntSushi/ucd-generate
bincode,2.0.0-rc.3,bincode-org/bincode
libz-sys,1.1.9,rust-lang/libz-sys
windows-sys,0.48.0,microsoft/windows-rs
core-foundation-sys,0.8.4,servo/core-foundation-rs
windows_x86_64_msvc,0.48.0,microsoft/windows-rs
prost,0.11.9,tokio-rs/prost
prost-derive,0.11.9,tokio-rs/prost
web-sys,0.3.63,rustwasm/wasm-bindgen/tree/master/crates/web-sys
ctor,0.2.0,mmastrac/rust-ctor
matchers,0.1.0,hawkw/matchers
tracing-futures,0.2.5,tokio-rs/tracing
rand_xorshift,0.3.0,rust-random/rngs
minimal-lexical,0.2.1,Alexhuszagh/minimal-lexical
half,2.2.1,starkat99/half-rs
serde_yaml,0.9.21,dtolnay/serde-yaml
miow,0.5.0,yoshuawuyts/miow
void,1.0.2,reem/rust-void.git
structopt,0.3.26,TeXitoi/structopt
phf_generator,0.11.1,rust-phf/rust-phf
tokio-native-tls,0.3.1,tokio-rs/tls
structopt-derive,0.4.18,TeXitoi/structopt
prost-types,0.11.9,tokio-rs/prost
csv,1.2.1,BurntSushi/rust-csv
byte-tools,0.3.1,RustCrypto/utils
num,0.4.0,rust-num/num
bindgen,0.65.1,rust-lang/rust-bindgen
windows_x86_64_gnu,0.48.0,microsoft/windows-rs
windows_i686_msvc,0.48.0,microsoft/windows-rs
windows_i686_gnu,0.48.0,microsoft/windows-rs
convert_case,0.6.0,rutrum/convert-case
csv-core,0.1.10,BurntSushi/rust-csv
windows_aarch64_msvc,0.48.0,microsoft/windows-rs
vcpkg,0.2.15,mcgoo/vcpkg-rs
core-foundation,0.9.3,servo/core-foundation-rs
proc-macro-nested,0.1.7,dtolnay/proc-macro-hack
scoped-tls,1.0.1,alexcrichton/scoped-tls
async-stream,0.3.5,tokio-rs/async-stream
ordered-float,3.7.0,reem/rust-ordered-float
async-stream-impl,0.3.5,tokio-rs/async-stream
cipher,0.4.4,RustCrypto/traits
term,0.7.0,Stebalien/term
clang-sys,1.6.1,KyleMayes/clang-sys
fake-simd,0.1.2,RustCrypto/utils
arrayref,0.3.7,droundy/arrayref
prost-build,0.11.9,tokio-rs/prost
hyper-rustls,0.24.0,ctz/hyper-rustls
cexpr,0.6.0,jethrogb/rust-cexpr
lexical-core,0.8.5,Alexhuszagh/rust-lexical
console,0.15.7,console-rs/console
arc-swap,1.6.0,vorner/arc-swap
wasm-bindgen-futures,0.4.36,rustwasm/wasm-bindgen/tree/master/crates/futures
hostname,0.3.1,svartalf/hostname
failure,0.1.8,rust-lang-nursery/failure
tower-layer,0.3.2,tower-rs/tower
multimap,0.9.0,havarnov/multimap
rustls-pemfile,1.0.2,rustls/pemfile
zstd-sys,2.0.8+zstd.1.5.5,gyscos/zstd-rs
winreg,0.50.0,gentoo90/winreg-rs
constant_time_eq,0.2.5,cesarb/constant_time_eq
tower,0.4.13,tower-rs/tower
dirs-sys-next,0.1.2,xdg-rs/dirs/tree/master/dirs-sys
derivative,2.2.0,mcarton/rust-derivative
aes,0.8.2,RustCrypto/block-ciphers
bit-vec,0.6.3,contain-rs/bit-vec
cookie,0.17.0,SergioBenitez/cookie-rs
zstd-safe,6.0.5+zstd.1.5.4,gyscos/zstd-rs
maplit,1.0.2,bluss/maplit
zstd,0.12.3+zstd.1.5.2,gyscos/zstd-rs
dashmap,5.4.0,xacrimon/dashmap
signal-hook,0.3.15,vorner/signal-hook
iana-time-zone,0.1.56,strawlab/iana-time-zone
event-listener,2.5.3,smol-rs/event-listener
peeking_take_while,1.0.0,fitzgen/peeking_take_while
error-chain,0.12.4,rust-lang-nursery/error-chain
failure_derive,0.1.8,rust-lang-nursery/failure
md-5,0.10.5,RustCrypto/hashes
schannel,0.1.21,steffengy/schannel-rs
const_fn,0.4.9,taiki-e/const_fn
crunchy,0.2.2,none
security-framework,2.9.1,kornelski/rust-security-framework
dirs-next,2.0.0,xdg-rs/dirs
pest_derive,2.6.0,pest-parser/pest
rustix,0.37.19,bytecodealliance/rustix
terminal_size,0.2.6,eminence/terminal-size
security-framework-sys,2.9.0,kornelski/rust-security-framework
bitvec,1.0.1,bitvecto-rs/bitvec
data-encoding,2.4.0,ia0/data-encoding
xml-rs,0.8.13,kornelski/xml-rs
maybe-uninit,2.0.0,est31/maybe-uninit
match_cfg,0.1.0,gnzlbg/match_cfg
concurrent-queue,2.2.0,smol-rs/concurrent-queue
pest_meta,2.6.0,pest-parser/pest
pest_generator,2.6.0,pest-parser/pest
serde_cbor,0.11.2,pyfisch/cbor
io-lifetimes,1.1.0-pre.0,sunfishcode/io-lifetimes
cast,0.3.0,japaric/cast.rs
globset,0.4.10,BurntSushi/ripgrep/tree/master/crates/globset
adler32,1.2.0,remram44/adler32-rs
radium,1.0.0,ferrilab/ferrilab
libm,0.2.7,rust-lang/libm
phf_codegen,0.11.1,rust-phf/rust-phf
fxhash,0.2.1,cbreeden/fxhash
criterion,0.5.1,bheisler/criterion.rs
rand_isaac,0.3.0,rust-random/rngs
rand_os,0.2.2,rust-random/rand
utf-8,0.7.6,SimonSapin/rust-utf8
num_threads,0.1.6,jhpratt/num_threads
criterion-plot,0.5.0,bheisler/criterion.rs
standback,0.4.4,jhpratt/standback
linux-raw-sys,0.4.0-pre.0,sunfishcode/linux-raw-sys
tinytemplate,1.2.1,bheisler/TinyTemplate
fallible-iterator,0.3.0,sfackler/rust-fallible-iterator
cargo_metadata,0.15.4,oli-obk/cargo_metadata
time-macros-impl,0.1.2,time-rs/time
diff,0.1.13,utkarshkukreti/diff.rs
redox_users,0.4.3,https://gitlab.redox-os.org/redox-os/users
crossbeam,0.8.2,crossbeam-rs/crossbeam
futures-lite,1.13.0,smol-rs/futures-lite
combine,4.6.6,Marwes/combine
parking,2.1.0,smol-rs/parking
pretty_assertions,1.3.0,rust-pretty-assertions/rust-pretty-assertions
cmake,0.1.50,rust-lang/cmake-rs
threadpool,1.8.1,rust-threadpool/rust-threadpool
colored,2.0.0,mackwic/colored
zeroize_derive,1.4.2,RustCrypto/utils/tree/master/zeroize/derive
safemem,0.3.3,abonander/safemem
waker-fn,1.1.0,stjepang/waker-fn
pem,2.0.1,jcreekmore/pem-rs.git
async-channel,1.8.0,smol-rs/async-channel
rand_jitter,0.3.0,rust-random/rngs
bit-set,0.5.3,contain-rs/bit-set
serde_bytes,0.11.9,serde-rs/bytes
indoc,2.0.1,dtolnay/indoc
nodrop,0.1.14,bluss/arrayvec
tar,0.4.38,alexcrichton/tar-rs
oorandom,11.1.3,https://sr.ht/~icefox/oorandom/
crc,3.0.1,mrhooray/crc-rs.git
curve25519-dalek,4.0.0-rc.2,dalek-cryptography/curve25519-dalek
vsdb,0.56.2,rust-util-collections/vsdb/tree/master/wrappers
tungstenite,0.19.0,snapview/tungstenite-rs
winapi-build,0.1.1,retep998/winapi-rs
vsdb_derive,0.53.0,rust-util-collections/vsdb/tree/master/derive
vsdbsled,0.34.7-patched,spacejam/sled
rustls-native-certs,0.6.2,ctz/rustls-native-certs
funty,3.0.0-rc2,ferrilab/ferrilab
kernel32-sys,0.2.2,retep998/winapi-rs
plotters,0.3.4,plotters-rs/plotters
aead,0.5.2,RustCrypto/traits
sha3,0.10.8,RustCrypto/hashes
tracing-serde,0.1.3,tokio-rs/tracing
tonic,0.9.2,hyperium/tonic
wyz,0.6.1,myrrlyn/wyz
bytemuck,1.13.1,Lokathor/bytemuck
md5,0.7.0,stainless-steel/md5
num-derive,0.3.3,rust-num/num-derive
protobuf,3.2.0,stepancheg/rust-protobuf/
errno,0.3.1,lambda-fairy/rust-errno
async-task,4.4.0,smol-rs/async-task
language-tags,0.3.2,pyfisch/rust-language-tags
tap,1.0.1,myrrlyn/tap
cache-padded,1.3.0,smol-rs/cache-padded
memmap2,0.6.2,RazrFalcon/memmap2-rs
lru-cache,0.1.2,contain-rs/lru-cache
signature,2.1.0,RustCrypto/traits/tree/master/signature
ctr,0.9.2,RustCrypto/block-modes
utf8-ranges,1.0.5,BurntSushi/utf8-ranges
Inflector,0.11.4,whatisinternet/inflector
xattr,1.0.0,Stebalien/xattr
openssl-macros,0.1.1,none
unindent,0.2.1,dtolnay/indoc
tiny-keccak,2.0.2,none
pbkdf2,0.12.1,RustCrypto/password-hashes/tree/master/pbkdf2
git2,0.17.2,rust-lang/git2-rs
libgit2-sys,0.15.2+1.6.4,rust-lang/git2-rs
polling,2.8.0,smol-rs/polling
